id,id_transport,cod_district,district,transport_type,station_name,sur_latitud,oeste_longitud,Latitud,Longitud
1,1,150112.0,independencia,metropolitano,E. NARANJAL,"11°58'51.19""S","77° 3'31.63""O",-11.980886111111111,-77.0587861111111
2,1,150112.0,independencia,metropolitano,IZAGUIRRE,"11°59'22.96""S","77° 3'25.30""O",-11.98971111111111,-77.05702777777778
3,1,150112.0,independencia,metropolitano,PACIFICO E1,"11°59'41.19""S","77° 3'21.84""O",-11.994774999999999,-77.05606666666667
4,1,150112.0,independencia,metropolitano,INDEPENDENCIA E1,"11°59'55.00""S","77° 3'18.79""O",-11.99861111111111,-77.05521944444445
5,1,150112.0,independencia,metropolitano,JAZMINES E1,"12° 0'7.88""S","77° 3'17.16""O",-12.002188888888888,-77.05476666666667
6,1,150112.0,independencia,metropolitano,TOMAS VALLE E1,"12° 0'22.87""S","77° 3'14.43""O",-12.006352777777778,-77.05400833333333
7,1,150128.0,rimac,metropolitano,EL MILAGRO E1,"12° 0'41.86""S","77° 3'10.32""O",-12.011627777777777,-77.05286666666666
8,1,150128.0,rimac,metropolitano,H. DELGADO E1,"12° 1'1.55""S","77° 3'5.89""O",-12.017097222222223,-77.05163611111111
9,1,150128.0,rimac,metropolitano,UNI E1,"12° 1'26.09""S","77° 2'57.25""O",-12.02391388888889,-77.04923611111111
10,1,150101.0,lima,metropolitano,P. TRABAJO E1,"12° 1'45.79""S","77° 2'39.33""O",-12.029386111111112,-77.04425833333333
11,1,150101.0,lima,metropolitano,CAQUETA E1,"12° 2'9.26""S","77° 2'37.31""O",-12.035905555555555,-77.04369722222222
12,1,150101.0,lima,metropolitano,R. CASTILLA E3,"12° 2'39.39""S","77° 2'27.75""O",-12.044275,-77.04104166666666
13,1,150101.0,lima,metropolitano,TACNA E1,"12° 2'46.04""S","77° 2'16.64""O",-12.046122222222222,-77.03795555555556
14,1,150101.0,lima,metropolitano,JR DE LA UNION E1,"12° 2'54.95""S","77° 2'2.36""O",-12.048597222222222,-77.03398888888889
15,1,150101.0,lima,metropolitano,COLMENA E1,"12° 3'8.43""S","77° 1'58.31""O",-12.052341666666667,-77.03286388888888
16,1,150101.0,lima,metropolitano,E. CENTRAL E7,"12° 3'29.37""S","77° 2'10.50""O",-12.058158333333335,-77.03625
17,1,150101.0,lima,metropolitano,DOS DE MAYO E1,"12° 2'47.37""S","77° 2'34.08""O",-12.046491666666666,-77.0428
18,1,150101.0,lima,metropolitano,QUILCA E1,"12° 3'5.38""S","77° 2'32.40""O",-12.051494444444446,-77.04233333333333
19,1,150101.0,lima,metropolitano,ESPAÑA E1,"12° 3'24.56""S","77° 2'30.73""O",-12.056822222222223,-77.04186944444444
20,1,150101.0,lima,metropolitano,E. NACIONAL E2,"12° 4'11.22""S","77° 1'54.11""O",-12.069783333333334,-77.03169722222222
21,1,150101.0,lima,metropolitano,MEXICO E2,"12° 4'40.92""S","77° 1'42.15""O",-12.078033333333334,-77.028375
22,1,150116.0,lince,metropolitano,CANADA E2,"12° 5'0.71""S","77° 1'34.06""O",-12.083530555555557,-77.02612777777777
23,1,150131.0,san isidro,metropolitano,J. PRADO E2,"12° 5'24.94""S","77° 1'22.88""O",-12.090261111111111,-77.02302222222222
24,1,150131.0,san isidro,metropolitano,CYM E1,"12° 5'52.86""S","77° 1'32.22""O",-12.098016666666668,-77.02561666666666
25,1,150131.0,san isidro,metropolitano,ARAMBURU E2,"12° 6'14.60""S","77° 1'38.64""O",-12.104055555555556,-77.0274
26,1,150141.0,surquillo,metropolitano,DOMINGO ORUE E2,"12° 6'35.10""S","77° 1'34.63""O",-12.10975,-77.0262861111111
